Ville;Type_bien;loyer_median;loyer_mensuel_median;surface_moyenne;nombre_observations;prix_achat_median;surface_median;loyer_annuel;rendement_%
Grenoble;Appartement;10,5;600.0;60.0;1778.0;146237.49999999997;59.0;7200.0;4.923497734849133
Grenoble;Appartement;14,7;400.0;28.0;187.0;146237.5;59.0;4800.0;3.282331823232755
Grenoble;Appartement;12,0;515.0;44.0;386.0;146237.49999999997;59.0;6180.0;4.226002222412173
Grenoble;Appartement;10,5;610.0;61.0;661.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Appartement;9,3;695.0;79.0;544.0;146237.5;59.0;8340.0;5.703051542866912
Grenoble;Appartement;11,0;610.0;58.0;295.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Appartement;10,2;599.0;62.0;1483.0;146237.5;59.0;7188.0;4.915291905291051
Grenoble;Appartement;10,4;650.0;67.0;888.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;14,3;415.0;30.0;142.0;146237.5;59.0;4980.0;3.405419266603983
Grenoble;Appartement;12,2;540.0;46.0;194.0;146237.49999999997;59.0;6480.0;4.43114796136422
Grenoble;Appartement;10,2;677.0;68.0;278.0;146237.5;59.0;8124.0;5.555346610821438
Grenoble;Appartement;9,1;775.0;91.0;274.0;146237.50000000003;59.0;9300.0;6.359517907513461
Grenoble;Appartement;10,7;686.0;66.0;145.0;146237.5;59.0;8232.0;5.629199076844174
Grenoble;Appartement;10,3;650.0;67.0;743.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;12,0;700.0;62.0;1764.0;146237.5;59.0;8400.0;5.744080690657321
Grenoble;Appartement;14,0;480.0;33.0;176.0;146237.5;59.0;5760.0;3.938798187879306
Grenoble;Appartement;12,9;594.0;46.0;522.0;146237.49999999997;59.0;7128.0;4.8742627575006425
Grenoble;Appartement;11,3;748.0;67.0;698.0;146237.5;59.0;8976.0;6.137960509445252
Grenoble;Appartement;10,3;904.0;94.0;368.0;146237.5;59.0;10848.0;7.418069920506026
Grenoble;Appartement;12,5;700.0;60.0;344.0;146237.5;59.0;8400.0;5.744080690657321
Grenoble;Appartement;11,7;700.0;63.0;1420.0;146237.5;59.0;8400.0;5.744080690657321
Grenoble;Appartement;12,5;650.0;59.0;2032.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;16,3;440.0;28.0;459.0;146237.50000000003;59.0;5280.0;3.6105650055560297
Grenoble;Appartement;13,0;610.0;47.0;721.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Appartement;11,1;790.0;70.0;535.0;146237.5;59.0;9480.0;6.482605350884691
Grenoble;Appartement;10,7;1090.0;104.0;317.0;146237.5;59.0;13080.0;8.944354218309257
Grenoble;Appartement;16,3;440.0;28.0;459.0;146237.50000000003;59.0;5280.0;3.6105650055560297
Grenoble;Appartement;13,0;610.0;47.0;721.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Appartement;11,1;790.0;70.0;535.0;146237.5;59.0;9480.0;6.482605350884691
Grenoble;Appartement;10,7;1090.0;104.0;317.0;146237.5;59.0;13080.0;8.944354218309257
Grenoble;Appartement;12,5;650.0;59.0;629.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;16,5;420.0;27.0;86.0;146237.5;59.0;5040.0;3.4464484143943928
Grenoble;Appartement;13,5;610.0;47.0;262.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Appartement;11,5;800.0;69.0;178.0;146237.5;59.0;9600.0;6.56466364646551
Grenoble;Appartement;11,1;1150.0;102.0;103.0;146237.49999999997;59.0;13800.0;9.436703991794172
Grenoble;Appartement;12,4;646.0;60.0;1403.0;146237.49999999997;59.0;7752.0;5.300965894520901
Grenoble;Appartement;16,1;440.0;28.0;373.0;146237.50000000003;59.0;5280.0;3.6105650055560297
Grenoble;Appartement;12,9;609.0;48.0;459.0;146237.5;59.0;7308.0;4.997350200871869
Grenoble;Appartement;11,1;790.0;70.0;357.0;146237.5;59.0;9480.0;6.482605350884691
Grenoble;Appartement;10,2;1066.0;106.0;214.0;146237.5;59.0;12792.0;8.747414308915292
Grenoble;Appartement;12,5;650.0;59.0;629.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;16,5;420.0;27.0;86.0;146237.5;59.0;5040.0;3.4464484143943928
Grenoble;Appartement;13,5;610.0;47.0;262.0;146237.5;59.0;7320.0;5.005556030429951
Grenoble;Appartement;11,5;800.0;69.0;178.0;146237.5;59.0;9600.0;6.56466364646551
Grenoble;Appartement;11,1;1150.0;102.0;103.0;146237.49999999997;59.0;13800.0;9.436703991794172
Grenoble;Appartement;12,4;646.0;60.0;1403.0;146237.49999999997;59.0;7752.0;5.300965894520901
Grenoble;Appartement;16,1;440.0;28.0;373.0;146237.50000000003;59.0;5280.0;3.6105650055560297
Grenoble;Appartement;12,9;609.0;48.0;459.0;146237.5;59.0;7308.0;4.997350200871869
Grenoble;Appartement;11,1;790.0;70.0;357.0;146237.5;59.0;9480.0;6.482605350884691
Grenoble;Appartement;10,2;1066.0;106.0;214.0;146237.5;59.0;12792.0;8.747414308915292
Grenoble;Appartement;12,0;650.0;63.0;874.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;16,8;430.0;27.0;177.0;146237.50000000003;59.0;5160.0;3.5285067099752108
Grenoble;Appartement;12,7;600.0;49.0;317.0;146237.49999999997;59.0;7200.0;4.923497734849133
Grenoble;Appartement;10,8;770.0;71.0;232.0;146237.5;59.0;9240.0;6.318488759723054
Grenoble;Appartement;10,4;1150.0;115.0;148.0;146237.49999999997;59.0;13800.0;9.436703991794172
Grenoble;Appartement;12,2;650.0;60.0;277.0;146237.5;59.0;7800.0;5.333789212753227
Grenoble;Appartement;11,6;650.0;64.0;597.0;146237.5;59.0;7800.0;5.333789212753227
