Ville;Type_bien;loyer_median;loyer_mensuel_median;loyer_annuel;surface_moyenne;prix_m2_appartement;prix_achat_calc;rendement_%
Grenoble;Appartement;15,6;430.0;5160.0;27.0;2588;69876.0;7.3845097029022835
Grenoble;Appartement;12,7;582.0;6984.0;46.0;2588;119048.0;5.8665412270680735
Grenoble;Appartement;11,0;727.0;8724.0;66.0;2588;170808.0;5.107489110580301
Grenoble;Appartement;10,4;900.0;10800.0;91.0;2588;235508.0;4.585831479185421
Grenoble;Appartement;11,5;600.0;7200.0;56.0;2588;144928.0;4.967984102450872
Grenoble;Appartement;15,4;415.0;4980.0;28.0;2588;72464.0;6.872378008390373
Grenoble;Appartement;12,2;558.0;6696.0;47.0;2588;121636.0;5.504949192673222
Grenoble;Appartement;10,6;690.0;8280.0;66.0;2588;170808.0;4.84754812420964
Grenoble;Appartement;9,6;800.0;9600.0;88.0;2588;227744.0;4.215259238443164
Grenoble;Appartement;11,8;595.0;7140.0;56.0;2588;144928.0;4.9265842349304485
Grenoble;Appartement;15,0;425.0;5100.0;29.0;2588;75052.0;6.795288599904066
Grenoble;Appartement;12,3;560.0;6720.0;47.0;2588;121636.0;5.524680193363807
Grenoble;Appartement;10,7;738.0;8856.0;69.0;2588;178572.0;4.959344130098783
Grenoble;Appartement;10,0;1020.0;12240.0;104.0;2588;269152.0;4.547616216858875
Grenoble;Appartement;12,0;600.0;7200.0;56.0;2588;144928.0;4.967984102450872
Grenoble;Appartement;11,7;582.0;6984.0;56.0;2588;144928.0;4.818944579377346
Grenoble;Appartement;11,0;600.0;7200.0;58.0;2588;150104.0;4.796674305814635
Grenoble;Appartement;14,7;427.0;5124.0;29.0;2588;75052.0;6.827266428609498
Grenoble;Appartement;12,0;560.0;6720.0;47.0;2588;121636.0;5.524680193363807
Grenoble;Appartement;10,4;650.0;7800.0;64.0;2588;165632.0;4.709234930448222
